crime_type,val_mae,val_rmse,test_mae,test_rmse,best_iteration
THEFT,0.027544789016246796,0.14115954502010433,0.02535077929496765,0.1346218475523476,161
BATTERY,0.022461900487542152,0.12069706392347744,0.02087012492120266,0.11653099544514735,124
CRIMINAL_DAMAGE,0.014136694371700287,0.09633715958470168,0.013154900632798672,0.09627336795875262,74
ASSAULT,0.011263675056397915,0.08511743437392912,0.010454313829541206,0.08174536479486945,113
DECEPTIVE_PRACTICE,0.008110887371003628,0.0705518588917407,0.0075082723051309586,0.06714521202831054,66
